text,url,description,parent_section,link_type,page_title
Report on Mental Health Survey,https://ncert.nic.in/pdf/Mental_Health_WSS_A_Survey_new.pdf,,,internal,NCERT
"Guidelines for 50 Hours of Continuous Professional Development for Teachers, Head Teachers and Teacher Educators",https://ncert.nic.in/pdf/Guidelines50HoursCpd.pdf,,,internal,NCERT
Projection and Trend of School Enrolment by 2025,https://ncert.nic.in/pdf/ESD_ptse.pdf,,,internal,NCERT
PDF (English,https://ncert.nic.in/pdf/DSCS_booklet.pdf,,,internal,NCERT
Hindi),https://ncert.nic.in/pdf/DSCS_booklet_Hi.pdf,,,internal,NCERT
Flipbook (English,https://ncert.nic.in/flipbook/DSCS_booklet/,,,internal,NCERT
Hindi),https://ncert.nic.in/flipbook/DSCS_booklet_Hindi,,,internal,NCERT
Launch Video,https://youtu.be/gM29c5dKQjg,,,external,NCERT
PPT,https://ncert.nic.in/pdf/Prashast_ppt.pptx,,,internal,NCERT
Reflective Teaching - A handbook towards preparing a Reflective Teacher,https://ncert.nic.in/dte/print-materials.php,,,internal,NCERT
"List of Rationalised Content in
Textbooks",https://ncert.nic.in/rationalised-content.php,,,internal,NCERT
Educational Rights of Children with Special Needs — Frequently Asked Questions,https://ncert.nic.in/pdf/CWSN-FAQs.pdf,,,internal,NCERT
Mandate Documents for the Developing of the National Curriculum Framework April 2022,https://ncert.nic.in/mandate-ncf.php,,,internal,NCERT
Guidelines for Rashtriya Avishkar Saptah 2021,https://ncert.nic.in/pdf/notice/RAS_Guidelines_2021.pdf,,,internal,NCERT
Bhasha Sangam 2021,https://ncert.nic.in/bs-2021.php,,,internal,NCERT
NIPUN Bharat || Flipbook,https://ncert.nic.in/ComicFlipBookEnglish/nipunbharat/mobile/index.html,,,internal,NCERT
PDF,https://ncert.nic.in/pdf/announcement/NIPUNBharat_web.pdf,,,internal,NCERT
Priya-The Accessibility Warrior,https://ncert.nic.in/ptaw.php,,,internal,NCERT
"Alternative Academic Calendar, 2021-22",https://ncert.nic.in/aac2021.php,,,internal,NCERT
Guidelines for Development of eContent for School Education  Version-3.0,https://ncert.nic.in/pdf/GuidelinesforeContent3.pdf,,,internal,NCERT
Guidelines for the Development of e-Content for Children with Disabilities,https://ncert.nic.in/pdf/CWSN_E-Content_guidelines_2021_new.pdf,,,internal,NCERT
PRAGYATA Guidelines for Digital Education    ||  English,https://ncert.nic.in/pdf/announcement/PRAGYATA_Guidelines_English.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/PRAGYATA_Guidelines_hindi.pdf,,,internal,NCERT
School Bag Policy 2020,https://ncert.nic.in/pdf/Final School Bag Policy 2020.pdf,,,internal,NCERT
Preschool Curriculum    ||  English,https://ncert.nic.in/dee/pdf/Combined_Pre_school_curriculumEng.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/dee/pdf/Combined_Pre_school_curriculumHindi.pdf,,,internal,NCERT
Learning Outcomes at Elementary Stage    ||  English,https://ncert.nic.in/pdf/publication/otherpublications/tilops101.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/publication/otherpublications/Learning_Outcomes–Hindi.pdf,,,internal,NCERT
Urdu,https://ncert.nic.in/pdf/publication/otherpublications/Learning_outcomes_urdu.pdf,,,internal,NCERT
Learning Outcomes at Secondary Stage    ||  English,https://ncert.nic.in/pdf/publication/otherpublications/learning_outcomes.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/publication/otherpublications/learning_outcomes_Hindi.pdf,,,internal,NCERT
Learning Outcomes at the Higher Secondary Stage - Draft,https://ncert.nic.in/pdf/publication/otherpublications/Draft_LO.pdf,,,internal,NCERT
Students' Learning Enhancement Guidelines,https://ncert.nic.in/pdf/announcement/Learning_ Enhancement_Guidelines.pdf,,,internal,NCERT
Guidelines for Schools- Health and Physical Education(Including Sports and Yoga).,https://ncert.nic.in/pdf/announcement/health-education-hpe.pdf,,,internal,NCERT
NAS 2017 Report,https://ncert.nic.in/pdf/NAS/WithReleaseDate_NPPTL.pdf,,,internal,NCERT
Source Books on Assessment for Classes VI-VIII,https://ncert.nic.in/desm/material-for-teachers.php,,,internal,NCERT
Annual Reports of NCERT,https://ncert.nic.in/annual-report.php,,,internal,NCERT
Annual Accounts Reports of NCERT,https://ncert.nic.in/annual-accounts.php,,,internal,NCERT
Continuous and Comprehensive Evaluation Guidelines - English,https://ncert.nic.in/pdf/announcement/CCE-Guidelines.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/CCE-hindi.pdf,,,internal,NCERT
Urdu,https://ncert.nic.in/pdf/announcement/CCE-urdu.pdf,,,internal,NCERT
Laboratory Manuals,https://ncert.nic.in/science-laboratory-manual.php,,,internal,NCERT
Training and Resource material on Health and Wellbeing - English,https://ncert.nic.in/pdf/announcement/Training_Resource_Material_english.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/Training_Resource_Material_Hindi.pdf,,,internal,NCERT
Scheme and General Guidelines of National Online Yoga Quiz Competition,https://ncert.nic.in/pdf/announcement/YogaCompetition_scheme_guidelines.pdf,,,internal,NCERT
Cyber Safety and Security: Online Learning in Times of COVID-19- English  ||   Hindi,https://ncert.nic.in/pdf/announcement/Safetolearn_English.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/Safetolearn_Hindi.pdf,,,internal,NCERT
Fight COVID-19: Join us on Webinar,https://ciet.nic.in/pages.php?id=webinar&ln=en,,,external,NCERT
Teacher's Self Assessment Rubrics (TSAR),https://ncert.nic.in/pdf/announcement/TSAR.pdf,,,internal,NCERT
Bhasha Sangam a Visualscape (Issue IV),https://ncert.nic.in/pdf/announcement/BhashaSangamMazineIV.pdf,,,internal,NCERT
"Draft Adapted version of UGC Regulations-2018, on Minimum Qualifications for Appointment of Academic Staff in NCERT",https://ncert.nic.in/pdf/announcement/Circular_UGC_regulation.pdf,,,internal,NCERT
Art Integrated Learning Guidelines- English,https://ncert.nic.in/pdf/announcement/AIL-Guidelines-English.pdf,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/AIL-Guidelines-Hindi.pdf,,,internal,NCERT
Accessibility in School Curriculum-NCERT’s Initiatives,https://ciet.nic.in/pages.php?id=accesstoedu&ln=en&ln=en,,,external,NCERT
Online Survey of Research in Education,http://osre.ncert.gov.in/,,,external,NCERT
Miscellaneous,https://ncert.nic.in/miscellaneous.php?ln=,,,internal,NCERT
Notice,https://ncert.nic.in#updates,,,internal,NCERT
Accommodation,https://ncert.nic.in#cw,,,internal,NCERT
CGHS,https://ncert.nic.in#insurance,,,internal,NCERT
Pension/Salary,https://ncert.nic.in#pension,,,internal,NCERT
Miscellaneous,https://ncert.nic.in#notice-miscellaneous,,,internal,NCERT
"Notice under CCS (CCA) Rules, 1965 to Shri K. Ganesaramu",https://ncert.nic.in/pdf/announcement/notices/Notice_CCS_CCA-Rules_Shri_K_Ganesaramu.pdf,,,internal,NCERT
"Poster of the event Celebration of Mother Language day Feb 21, 2025",https://ncert.nic.in/pdf/announcement/notices/International_Mother_Language_Day_Banner.png,,,internal,NCERT
Hindi,https://ncert.nic.in/pdf/announcement/notices/Riyaz_Hindi_Brochure.pdf,,,internal,NCERT
Urdu,https://ncert.nic.in/pdf/announcement/notices/Riyaz_Urdu_Brochure.pdf,,,internal,NCERT
